"
Nom du Dossier/ Numero de la fiche",LatLong,MRC,Eau Souterraine,Sol,etat ,Date de creation ou date de mise a jour
Les Terrasses Plessis Panet,"45.5194094788
? -73.5527679342",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,11/9/05
Les vêtements de sport Gildan inc.,"45.54112292
? -73.6576514547",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2009
Q : <= C",5/3/10
Levant Immobilier S.A.,"45.5219173353
? -73.6169612046",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,3/5/08
Levitts Kosher Food inc.,"45.4499922981
? -73.6257744268",Ville de Montreal,,"Cuivre (Cu), Plomb (Pb)","R : Terminee en 1999
Q : Plage B-C",2/28/05
Liftow ltee,"45.4607111111
? -73.7045138889",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2003
Q : <= C",12/9/03
"L'illusion, Theâtre de marionnettes","45.5336760251
? -73.6050675484",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,4/18/19
Lincora Canada inc. (ancien Canada Metal),"45.5731120807
? -73.5253430409",Ville de Montreal,,"Cadmium (Cd), Cuivre (Cu), Nickel (Ni), Plomb (Pb), Zinc (Zn)","R : Terminee en 1990
Q : Plage A-B",3/3/05
Litemore Ltd,"45.4916195185
? -73.6480901689",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1992
Q : Non precisee",3/3/05
Loblaws,"45.5909345672
? -73.5369243711",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1998
Q : Plage B-C",8/4/00
Loblaws - Provigo (siege social),"45.5092548829
? -73.6686899355",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","Cuivre (Cu), Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Molybdene (Mo), Nickel (Ni), Plomb (Pb), Zinc (Zn)","R : Terminee en 2005
Q : Plage B-C",1/12/06
Loblaws Quebec ltee,"45.4511799242
? -73.6083897099",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,"R : Terminee en 1997
Q : Plage B-C",12/2/99
Location R & R,"45.6492142695
? -73.562134707",Ville de Montreal,,"Chlorophenols*, Composes phenoliques*, Hydrocarbures chlores*","R : Terminee en 1989
Q : Non precisee",4/11/00
Logement,"45.5078885334
? -73.806908953",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2014
Q : <= A",3/25/14
"Logements sociaux 1735-1745, rue Centre Montreal","45.4837246714
? -73.5612297685",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2005
Q : Non precisee",4/5/06
Logis Phare (OBNL),"45.530449116
? -73.5557048409",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,"R : Terminee en 2004
Q : <= B",11/22/05
L'Oratoire Saint-Joseph du Mont-Royal,"45.4919139728
? -73.6185558414",Ville de Montreal,,"Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Fluoranthene, Hydrocarbures petroliers C10 a C50, Phenanthrene",R : Non terminee,7/8/19
L'oreal Canada inc.,"45.4706505751
? -73.6973632775",Ville de Montreal,,,"R : Terminee en 1999
Q : <= C",5/1/02
lot 4 932 765,"45.4496311335
? -73.6062154576",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2013
Q : <= B",3/17/17
Lot 6 037 060 (ptie 1868 713) - site 1,"45.526609
? -73.615061",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,4/28/20
lot 1 179 446 - Projet Altoria Tour Viger,"45.502415096
? -73.5635212725",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2012
Q : <= A",12/9/13
Lot 1 247 096 (2040 rue de Remembrance),"45.4385194444
? -73.6828555556",Ville de Montreal,"Chlorures (Cl-), Mercure total (Hg), Sulfures (H2S)","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*, Soufre total (S)",R : Non terminee,6/19/18
lot 1 426 717,"45.4385194444
? -73.6828555556",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Metaux*, Sulfures (H2S)","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*, Soufre total (S)",R : Non terminee,12/17/18
lot 1 560 125 - rue Marseille,"45.5676339646
? -73.54767052",Ville de Montreal,"Hydrocarbures petroliers C10 a C50, Metaux*, Phenol","Hydrocarbures aromatiques monocycliques * (seringue), Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,9/25/20
Lot 1 574 041,"45.4827564965
? -73.5733491026",Ville de Montreal,,Zinc (Zn),R : Non terminee,4/18/17
Lot 1 879 326,"45.5564051043
? -73.545048058",Ville de Montreal,,"Cuivre (Cu), Dioxines (PCDD), Furanes (PCDF), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Manganese (Mn), Plomb (Pb), Zinc (Zn)",R : Non terminee,10/19/21
Lot 1246814,"45.4364166667
? -73.6807638889",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Metaux*","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,6/28/10
lot 1706101,"45.4489595699
? -73.6724221137",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Metaux*","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,8/4/20
Lot 2 216 521,"45.5668142882
? -73.5992180651",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,11/24/16
Lot 4 498 992- Societe Immobiliere du Canada CLC ltee (anc. Centre de tri Societe can. des postes),"45.489833904
? -73.5628047018",Ville de Montreal,,"etain (Sn), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,12/29/15
Lot 4 498 994 - Societe Immobiliere du Canada CLC ltee (anc. Centre de tri Societe can. des postes),"45.489833904
? -73.5628047018",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,R : Non terminee,12/29/15
Lot 4 498 996-Societe Immobiliere du Canada CLC ltee (anc. Centre de tri Societe can. des postes),"45.489833904
? -73.5628047018",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,12/29/15
Lot 4 498 998 - Societe Immobiliere du Canada CLC ltee (anc. Centre de tri Societe can. des postes),"45.489833904
? -73.5628047018",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,12/29/15
Lot 4 498 999 - Societe Immobiliere du Canada CLC ltee (anc. Centre de tri postal) -,"45.489833904
? -73.5628047018",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2012
Q : <= C",12/29/15
Lot 4 499 000- Societe Immobiliere du Canada CLC ltee (anc. Centre de tri postal) -,"45.489833904
? -73.5628047018",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,R : Non terminee,12/29/15
Lot 4 499 003- Societe Immobiliere du Canada CLC ltee (anc. Centre de tri postal) -,"45.489833904
? -73.5628047018",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,12/29/15
lot 4 499 011- parcelle B-1A,"45.4901929133
? -73.562775624",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,R : Non terminee,1/17/19
lot 4 499 012,"45.4905972222
? -73.5612861111",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,7/7/20
Lot 4 760 622,"45.4496311335
? -73.6062154576",Ville de Montreal,Hydrocarbures aromatiques polycycliques*,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2016
Q : <= B",3/17/17
Lot 4 760 623,"45.4496311335
? -73.6062154576",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Phenol","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2016
Q : <= C",3/17/17
Lot 4 760 624,"45.4496311335
? -73.6062154576",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Phenol","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2016
Q : Plage B-C",6/21/18
Lot 4 916 257,"45.5691425203
? -73.5295433451",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Non necessaire
Q : Non precisee",7/5/13
Lot 5 557 254 - Complexe Challenger,"45.5180424973
? -73.7132864126",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2016
Q : <= B",5/6/16
Lot 525-2 du Centre Eaton,"45.6014613035
? -73.560876997",Ville de Montreal,,Benzene (pot),"R : Terminee en 1992
Q : Plage B-C",12/12/16
lot 6 002 095 (site 3),"45.526609
? -73.615061",Ville de Montreal,"Manganese (Mn), Sodium","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Non necessaire
Q : Non precisee",4/28/20
Lot 6 355 488 - Costco,"45.622721
? -73.555998",Ville de Montreal,"Azote ammoniacal (NH4+), Hydrocarbures aromatiques monocycliques*, Metaux*, Nitrite (N-NO2-), Phosphore total (P-PO4-3)","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2020
Q : <= C",2/21/23
"Lot derriere le 6600, rue Saint-Urbain","45.5301805556
? -73.612125",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures petroliers C10 a C50, Plomb (Pb)",R : Non terminee,8/28/20
"Lot no. 1 182 572, Arrondissement Ville-Marie","45.5147257134
? -73.5496669205",Ville de Montreal,,etain (Sn),"R : Non necessaire
Q : Non precisee",11/8/12
lots 1 892 534 et 1 892 535,"45.482655
? -73.710412",Ville de Montreal,Metaux*,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,12/20/18
"Lots 2 806 692 , 2 806 693, 2 806 694, et 2 334 558","45.5271661708
? -73.6011977557",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Manganese (Mn)","R : Terminee en 2015
Q : <= B",12/7/16
"Lots 3 397 634, 3 398 113 et 4 205 922","45.673409385
? -73.5343701666",Ville de Montreal,1,1,R : Non terminee,5/19/21
"Lots 3 943 632, 3 943 635 et 3 943 636, boulevard Gaetan-Laberge","45.4663005161
? -73.5615359047",Ville de Montreal,,"Arsenic (As), Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Chrysene, Hydrocarbures petroliers C10 a C50, Plomb (Pb), Zinc (Zn)",R : Non terminee,5/17/19
Lots 3743678 et 3743679 (Reabilitation terrain de l'ancienne Jenkins dans l'arr. Lachine),"45.4377777778
? -73.6616666667",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2010
Q : <= B",3/27/17
Lots 4 932 764,"45.4496311335
? -73.6062154576",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2012
Q : Non precisee",3/17/17
Lots 5 094 459 et partie du 2 334 609,"45.528484427
? -73.5985938451",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,1/26/22
lots 5 424 063 et 5 424 064,"45.494849084
? -73.5730909385",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2019
Q : <= B",4/3/20
lots 6 032 109 et 6 032 108 - site 4,"45.526609
? -73.615061",Ville de Montreal,"Benzene, Manganese (Mn), Sodium","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,4/28/20
lots 6 0340 618 et partie de 1 513 092 - site 2,"45.526609
? -73.615061",Ville de Montreal,"Aluminium (Al), Manganese (Mn)",Hydrocarbures petroliers C10 a C50,R : Non terminee,4/28/20
"lots 6 049 211, 6 049 214, 6 049 217 et 6 049 220","45.4934972222
? -73.6487611111",Ville de Montreal,Sulfures (H2S),"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Phthalates (chacun)",R : Non terminee,5/30/19
"Lots 977-3, 979-2, 980","45.5222886747
? -73.5613520479",Ville de Montreal,,"Composes phenoliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 1992
Q : Plage B-C",12/7/16
Lots au complets: 1 247 096 + 1 246 717 + 1 246 473,"45.4385194444
? -73.6828555556",Ville de Montreal,"Chlorures (Cl-), Hydrocarbures aromatiques polycycliques*, Metaux*, Sulfures (H2S)","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*, Solvants*",R : Non terminee,6/19/18
M. Jackson Ing,"45.4388888889
? -73.6255555556",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,2/18/04
M. Muffler De Rouen,"45.5495239233
? -73.5464718314",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2019
Q : <= B",4/5/23
Machinerie Wilson Cie ltee,"45.4416688974
? -73.6255641914",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures petroliers C10 a C50","R : Terminee en 1999
Q : Plage B-C",8/31/16
Madame Diane Gaudreau,"45.466065
? -73.564193",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2009
Q : <= B",7/24/09
Madame Johanne Pratte,"45.5311165302
? -73.6047662854",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2000
Q : Plage B-C",3/16/18
Madame Kim Hanh Tran,"45.5496448985
? -73.6134327042",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,9/18/02
Madame Louise Monday,"45.4736227637
? -73.6169124232",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2001
Q : Plage B-C",11/5/01
Madame Teresa Puente,"45.5293365642
? -73.6371405424",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2000
Q : > C",7/4/00
Maison de la culture Pointe-aux-Trembles,"45.6680372395
? -73.4945198408",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures petroliers C10 a C50, Toluene (pot), Zinc (Zn)","R : Terminee en 1998
Q : Plage B-C",11/17/16
Maison de l'Arbre (Ville de Montreal),"45.5600162117
? -73.5625716132",Ville de Montreal,,"etain (Sn), Plomb (Pb), Zinc (Zn)","R : Terminee en 1995
Q : Non precisee",9/9/99
Maison des sourds - lot 3790475,"45.555533
? -73.618439",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2010
Q : <= B",9/25/15
Maison du Citoyen,"45.6406875998
? -73.4889455458",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,6/1/16
Maison mere des Soeurs grises de Montreal,"45.4955681913
? -73.5765516536",Ville de Montreal,,"ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,9/21/00
Maison Yvonne-Maisonneuve,"45.5192765296
? -73.5802062624",Ville de Montreal,,"Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(g,h,i)perylene, Chrysene, Dibenzo(a,l)pyrene, Fluoranthene, Indeno(1,2,3-cd)pyrene, Phenanthrene","R : Terminee en 2003
Q : <= B",1/5/06
Maisonneuve auto service,"45.4571380899
? -73.5971032668",Ville de Montreal,Benzene,"Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)","R : Terminee en 2006
Q : <= B",2/9/06
"Manco Domplex Electroplating 4660 et 4670, rue Hickmore","45.4710694444
? -73.6947194444",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Non necessaire
Q : Non precisee",8/19/15
Manege Saint-Gregoire,"45.5326939691
? -73.5910953143",Ville de Montreal,,"etain (Sn), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb), Xylenes (o,m,p) (pot)",R : Non terminee,4/17/00
Manoir de l'âge d'or,"45.5094557615
? -73.5719503962",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures petroliers C10 a C50, Plomb (Pb), Zinc (Zn)","R : Terminee en 1993
Q : Plage A-B",9/26/00
Manoir des Roseraies,"45.4611840591
? -73.578001197",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1996
Q : <= C",3/3/05
Manufacture les tricots dores inc.,"45.4968070381
? -73.6515840446",Ville de Montreal,,"Benzene (pot), Dichloro-1,2 benzene (pot), Hydrocarbures petroliers C10 a C50, Plomb (Pb)","R : Terminee en 1996
Q : Plage B-C",9/25/09
Marche Central Metropolitain - Phase IV,"45.5326757889
? -73.653672095",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2002
Q : Plage B-C",7/19/04
Marche d'alimentation IGA,"45.4768472222
? -73.5673722222",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 1999
Q : Plage B-C",12/20/01
Marie Andre Brousset,"45.5787944842
? -73.5760880466",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1997
Q : Plage A-B",3/4/05
"Marina de Baie d'Urfe, Brise-lames","45.4036638812
? -73.9232059385",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2009
Q : <= B",8/30/10
Marina Garden,"45.4161694444
? -73.6327777778",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2004
Q : <= B",8/24/04
Martin Gaulin,"45.5640513861
? -73.6132951584",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)","R : Terminee en 2005
Q : <= A",5/13/11
Materiaux de construction Swimko inc. (anc.Congregation Toldos Yakov Yose),"45.5232243994
? -73.6154202889",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun)","R : Terminee en 2011
Q : <= B",4/27/12
Mayfield towers,"45.4635469845
? -73.6459962096",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2011
Q : Plage A-B",7/9/15
Mels Studios et Postproduction SENC,"45.4788044478
? -73.5423111027",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Zinc (Zn)","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,12/10/21
Merlin Immobilier inc. - Arr. Lachine Projet Acces condo SHD,"45.4367443105
? -73.6845761794",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,9/16/15
Messageries de presse Benjamin inc.,"45.4307771944
? -73.6507554006",Ville de Montreal,,"Benzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot)","R : Terminee en 2001
Q : Plage B-C",1/9/02
Metalform inc.,"45.621039158
? -73.5755871382",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2012
Q : <= C",10/17/13
Metaux Ballast Canada inc.,"45.5723472036
? -73.5254323829",Ville de Montreal,,"Cuivre (Cu), Plomb (Pb), Zinc (Zn)",R : Non terminee,7/22/16
Metro Warehouse,"45.4848810664
? -73.7463184719",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2004
Q : <= C",11/14/05
Mexx Canada inc.,"45.5402638889
? -73.6630416667",Ville de Montreal,,Biphenyles polychlores (BPC),"R : Terminee en 1999
Q : <= A",3/3/05
Ministere des Transports - Lot 4 572 519,"45.5072657605
? -73.6626933961",Ville de Montreal,"Benzene, ethylbenzene, Toluene, Xylenes (o,m,p)","Benzene (pot), ethylbenzene (pot), Methyl naphtalenes (chacun), Toluene (pot), Xylenes (o,m,p) (pot)",R : Non terminee,6/8/11
Ministere des Transports (635),"45.4760341657
? -73.5979624451",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)",R : Non terminee,2/4/13
Ministere des Transports (C450),"45.4760341657
? -73.5979624451",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,2/1/13
ministere des Transports (C451),"45.4760341657
? -73.5979624451",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures aromatiques polycycliques*",R : Non terminee,2/1/13
Ministere des Transports (C457),"45.4760341657
? -73.5979624451",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,R : Non terminee,2/1/13
ministere des Transports (C522),"45.4760341657
? -73.5979624451",Ville de Montreal,Hydrocarbures aromatiques polycycliques*,"Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,2/1/13
Ministere des Transports (C531),"45.4760341657
? -73.5979624451",Ville de Montreal,Selenium (Se),"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,2/1/13
Ministere des Transports (C550),"45.4760341657
? -73.5979624451",Ville de Montreal,Phosphore total (P-PO4-3),Hydrocarbures aromatiques polycycliques*,R : Non terminee,2/1/13
Ministere des transports (C551),"45.4760341657
? -73.5979624451",Ville de Montreal,Phosphore total (P-PO4-3),"Baryum (Ba), Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Phthalates (chacun), Plomb (Pb), Soufre total (S), Zinc (Zn)",R : Non terminee,3/1/13
ministere des Transports (C552),"45.4760341657
? -73.5979624451",Ville de Montreal,Phosphore total (P-PO4-3),"Hydrocarbures aromatiques polycycliques*, Manganese (Mn)",R : Non terminee,3/1/13
Ministere des Transports (C565),"45.4760341657
? -73.5979624451",Ville de Montreal,"Cuivre (Cu), ethylbenzene, Hydrocarbures petroliers C10 a C50, Sulfures (H2S), Xylenes (o,m,p)",Hydrocarbures petroliers C10 a C50,R : Non terminee,2/1/13
Ministere des transports (C649),"45.4760341657
? -73.5979624451",Ville de Montreal,Hydrocarbures aromatiques polycycliques*,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,2/1/13
ministere des Transports(C528),"45.4760341657
? -73.5979624451",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,2/1/13
"Ministere des Transports, coin Ste-Catherine et Bercy","45.5324069015
? -73.5439278189",Ville de Montreal,,Cuivre (Cu),R : Non terminee,1/30/17
"Ministere des transports, une partie des lots 176, 177 et 179","45.4675662931
? -73.6039252527",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2010
Q : <= C",8/29/12
Modernisation rue Notre-Dame Montreal,,Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2010
Q : <= C",5/30/11
Modico Canada ltee,"45.4977472222
? -73.5730722222",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,"R : Non necessaire
Q : Non precisee",9/21/12
Modugno-Hortibec inc.,"45.4988344365
? -73.7599554382",Ville de Montreal,,"Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Chrysene",R : Non terminee,3/3/10
Mondev Construction,"45.5489338957
? -73.6174954869",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2008
Q : <= B",8/25/15
Monit International inc.,"45.498400598
? -73.5796264122",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1989
Q : Non precisee",6/8/18
Monsieur Andre Gerin,"45.4982879016
? -73.625062993",Ville de Montreal,Hydrocarbures petroliers C10 a C50,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1998
Q : > C",9/18/09
Monsieur David Isidaen,"45.5011820159
? -73.62811488",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2002
Q : > C",2/12/02
Monsieur Georges Tritsis,"45.4317492432
? -73.6202383136",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,8/7/01
Monsieur Jules Lecourt,"45.5212551955
? -73.6132476347",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,10/26/01
Monsieur Konstantinos Xynos,"45.5250100301
? -73.6279257264",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2012
Q : Plage A-B",9/5/12
Monsieur Nicola Iafigliola,"45.5294219349
? -73.6371490766",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2000
Q : > C",3/11/14
Monsieur Peter et madame Mary Tang,"45.4976805556
? -73.6247083333",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2001
Q : Non precisee",3/3/08
Monsieur Pietro Monte,"45.4267631906
? -73.6292626985",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2003
Q : Plage A-B",1/19/04
"Monsieur Real Masse, 6855","45.5638771483
? -73.5861112276",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2000
Q : Plage B-C",2/25/10
"Monsieur Real Masse,6805","45.5638771483
? -73.5861112276",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2000
Q : Plage B-C",2/25/10
Mont-Royal Ford (1982) inc.,"45.537851349
? -73.5718792745",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2010
Q : <= B",11/13/15
